[23:27:17] [main/INFO]: ModLauncher running: args [--username, megalodon7612, --version, forge-47.4.0, --gameDir, C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9, --assetsDir, C:\Users\user\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 160e99c51a494be1bd270aebcbbcdc2a, --accessToken, ????????, --clientId, 2a1b18-1005359-d911ea-74f0ec-29cd15, --xuid, 2535427159644246, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[23:27:17] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[23:27:17] [main/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\fml.toml is not correct. Correcting
[23:27:17] [main/INFO]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[23:27:17] [main/INFO]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[23:27:20] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[23:27:20] [main/INFO]: Trying GL version 4.6
[23:27:20] [main/INFO]: If this message is the only thing at the bottom of your log before a crash, you probably have a driver issue.

Possible solutions:
A) Make sure Minecraft is set to prefer high performance graphics in the OS and/or driver control panel
B) Check for driver updates on the graphics brand's website
C) Try reinstalling your graphics drivers
D) If still not working after trying all of the above, ask for further help on the Forge forums or Discord
[23:27:45] [modloading-worker-0/WARN]: Incorrect key alternator.generator_efficiency was corrected from null to its default, 0.75. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key rolling_mill was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key rolling_mill.rolling_mill_processing_duration was corrected from null to its default, 120. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key rolling_mill.rolling_mill_stress was corrected from null to its default, 8. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.small_connector_max_input was corrected from null to its default, 1000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.small_connector_max_output was corrected from null to its default, 1000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.small_connector_wire_length was corrected from null to its default, 16. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.small_light_connector_consumption was corrected from null to its default, 1. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.large_connector_max_input was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.large_connector_max_output was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.large_connector_wire_length was corrected from null to its default, 32. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.connector_ignore_face_check was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key wires.connector_allow_passive_io was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator.accumulator_max_input was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator.accumulator_max_output was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator.accumulator_capacity was corrected from null to its default, 2000000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator.accumulator_max_height was corrected from null to its default, 5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key accumulator.accumulator_max_width was corrected from null to its default, 3. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key portable_energy_interface was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key portable_energy_interface.pei_max_input was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key portable_energy_interface.pei_max_output was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_max_input was corrected from null to its default, 10000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_charge_rate was corrected from null to its default, 5000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_recipe_charge_rate was corrected from null to its default, 2000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_capacity was corrected from null to its default, 40000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_hurt_energy_required was corrected from null to its default, 1000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_hurt_range was corrected from null to its default, 3. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_hurt_mob was corrected from null to its default, 3. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_effect_time_mob was corrected from null to its default, 20. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_hurt_player was corrected from null to its default, 2. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_effect_time_player was corrected from null to its default, 20. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key tesla_coil.tesla_coil_fire_cooldown was corrected from null to its default, 20. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key misc was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key misc.diamond_grit_sandpaper_uses was corrected from null to its default, 1024. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key misc.barbed_wire_damage was corrected from null to its default, 2.0. 
[23:27:45] [Voidscape Donator Loader/INFO]: Donor data loaded
[23:27:45] [modloading-worker-0/INFO]: Registered plugin: com.blakebr0.mysticalagriculture.lib.ModCorePlugin
[23:27:45] [modloading-worker-0/INFO]: Registered plugin: com.blakebr0.mysticalcustomization.lib.ModCorePlugin
[23:27:45] [modloading-worker-0/INFO]: Registered plugin: com.blakebr0.mysticalagradditions.lib.ModCorePlugin
[23:27:45] [modloading-worker-0/INFO]: Created /config/mysticalcustomization/mobsoultypes/ directory
[23:27:45] [modloading-worker-0/INFO]: Loaded 3 plugins
[23:27:45] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jeresources.toml is not correct. Correcting
[23:27:45] [modloading-worker-0/WARN]: Incorrect key itemsPerColumn was corrected from null to its default, 4. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key itemsPerRow was corrected from null to its default, 4. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key diyData was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key showDevData was corrected from null to its default, false. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key enchantsBlacklist was corrected from null to its default, [flimflam, soulBound]. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key hiddenTabs was corrected from null to its default, []. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key dimensionsBlacklist was corrected from null to its default, [-11]. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key disableLootManagerReloading was corrected from null to its default, false. 
[23:27:45] [modloading-worker-0/INFO]: Loading config: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\cabletiers-common.toml
[23:27:45] [modloading-worker-0/INFO]: Built config: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\cabletiers-common.toml
[23:27:45] [modloading-worker-0/INFO]: Loaded config: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\cabletiers-common.toml
[23:27:45] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\cabletiers-common.toml is not correct. Correcting
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteExporterSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteImporterSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteConstructorSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteDestructorSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteDiskManipulatorSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteInterfaceSpeed was corrected from null to its default, 2.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteRequesterMaxCraftAmount was corrected from null to its default, 2000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Elite Tier Options.eliteEnergyCost was corrected from null to its default, 2. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraExporterSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraImporterSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraConstructorSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraDestructorSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraDiskManipulatorSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraInterfaceSpeed was corrected from null to its default, 5.0. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraRequesterMaxCraftAmount was corrected from null to its default, 4000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Ultra Tier Options.ultraEnergyCost was corrected from null to its default, 3. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaExporterSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaImporterSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaConstructorSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaDestructorSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaDiskManipulatorSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaInterfaceSpeed was corrected from null to its default, 6.5. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaRequesterMaxCraftAmount was corrected from null to its default, 6000. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key Mega Tier Options.megaEnergyCost was corrected from null to its default, 4. 
[23:27:45] [modloading-worker-0/INFO]: Registering mod: novillagerdm
[23:27:45] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\mysticalagradditions-common.toml is not correct. Correcting
[23:27:45] [modloading-worker-0/WARN]: Incorrect key General was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key General.witheringSoulChance was corrected from null to its default, 0.35. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key General.dragonScalesAmount was corrected from null to its default, 8. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key General.fertilizableTier6Crops was corrected from null to its default, false. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key General.essenceAppleDuration was corrected from null to its default, 180. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key World was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key World.generateNetherProsperityOre was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key World.generateNetherInferiumOre was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key World.generateEndProsperityOre was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/WARN]: Incorrect key World.generateEndInferiumOre was corrected from null to its default, true. 
[23:27:45] [modloading-worker-0/INFO]: Mixing client.MixinJoinMultiplayerScreen from mixins/common/nochatreports.mixins.json into net.minecraft.client.gui.screens.multiplayer.JoinMultiplayerScreen
[23:27:45] [modloading-worker-0/INFO]: Renaming synthetic method lambda$onInit$2()Lnet/minecraft/network/chat/Component; to md5fc63f$lambda$onInit$2$0 in mixins/common/nochatreports.mixins.json:client.MixinJoinMultiplayerScreen
[23:27:45] [modloading-worker-0/INFO]: Renaming synthetic method lambda$onInit$1(Lnet/minecraft/client/gui/components/Button;)V to md5fc63f$lambda$onInit$1$1 in mixins/common/nochatreports.mixins.json:client.MixinJoinMultiplayerScreen
[23:27:45] [modloading-worker-0/INFO]: Renaming synthetic method lambda$onInit$0(Lnet/minecraft/client/gui/components/Button;)V to md5fc63f$lambda$onInit$0$2 in mixins/common/nochatreports.mixins.json:client.MixinJoinMultiplayerScreen
[23:27:45] [modloading-worker-0/WARN]: Static binding violation: PRIVATE @Overwrite method m_215924_ in modernfix-forge.mixins.json:perf.tag_id_caching.TagEntryMixin cannot reduce visibiliy of PUBLIC target method, visibility will be upgraded.
[23:27:45] [modloading-worker-0/INFO]: Registering C2S receiver with id powah:packet
[23:27:46] [modloading-worker-0/WARN]: You have disabled Iron Furnaces's Update Checker, to re-enable: change the value of Update Checker in .minecraft->config->ironfurnaces-client.toml to 'true'.
[23:27:46] [modloading-worker-0/INFO]: Knock Knock...
[23:27:46] [modloading-worker-0/WARN]: Reactor detonation initiated.
[23:27:46] [modloading-worker-0/INFO]: Wait... NO! What?
[23:27:46] [modloading-worker-0/INFO]: Stop That! That's not how this works!
[23:27:46] [modloading-worker-0/WARN]: Calculating explosion ETA
[23:27:46] [modloading-worker-0/INFO]: Ahh... NO... NONONO! DONT DO THAT!!! STOP THIS NOW!
[23:27:46] [modloading-worker-0/WARN]: **Explosion Imminent!!!**
[23:27:46] [modloading-worker-0/INFO]: Well...... fork...
[23:27:46] [modloading-worker-0/INFO]: Mixing client.MixinClientPacketListener from mixins/common/nochatreports.mixins.json into net.minecraft.client.multiplayer.ClientPacketListener
[23:27:46] [modloading-worker-0/INFO]: Mixing client.MixinClientPacketListener from mixins/forge/nochatreports-forge.mixins.json into net.minecraft.client.multiplayer.ClientPacketListener
[23:27:46] [modloading-worker-0/WARN]: @Inject(@At("INVOKE")) Shift.BY=5 on attributeslib.mixins.json:client.ClientPacketListenerMixin::handler$bdp000$apoth_postAttrChangedEvent exceeds the maximum allowed value: 0. Increase the value of maxShiftBy to suppress this warning.
[23:27:46] [modloading-worker-0/INFO]: registerCompatBlocks
[23:27:46] [modloading-worker-0/INFO]: Correcting config 'utilitix:common'
[23:27:46] [modloading-worker-0/INFO]: Registered 2 network packets
[23:27:46] [modloading-worker-0/INFO]: Forge mod loading, version 47.4.0, for MC 1.20.1 with MCP 20230612.114412
[23:27:46] [modloading-worker-0/INFO]: MinecraftForge v47.4.0 Initialized
[23:27:46] [modloading-worker-0/INFO]: JEI Plugin Loaded
[23:27:46] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\appleskin-client.toml is not correct. Correcting
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodValuesInTooltip was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodValuesInTooltipAlways was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showSaturationHudOverlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodValuesHudOverlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodValuesHudOverlayWhenOffhand was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodExhaustionHudUnderlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodStatsInDebugOverlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showFoodHealthHudOverlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.showVanillaAnimationsOverlay was corrected from null to its default, true. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key client.maxHudOverlayFlashAlpha was corrected from null to its default, 0.65. 
[23:27:46] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\alchemistry-common.toml is not correct. Correcting
[23:27:46] [modloading-worker-0/WARN]: Incorrect key atomizer was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key atomizer.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key atomizer.energyPerTick was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key atomizer.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key atomizer.fluidCapacity was corrected from null to its default, 16000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key compactor was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key compactor.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key compactor.energyPerTick was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key compactor.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key combiner was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key combiner.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key combiner.energyPerTick was corrected from null to its default, 200. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key combiner.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key dissolver was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key dissolver.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key dissolver.energyPerTick was corrected from null to its default, 100. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key dissolver.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key liquifier was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key liquifier.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key liquifier.energyPerTick was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key liquifier.ticksPerOperation was corrected from null to its default, 100. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key liquifier.fluidCapacity was corrected from null to its default, 16000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fission was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fission.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fission.energyPerTick was corrected from null to its default, 300. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fission.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fusion was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fusion.energyCapacity was corrected from null to its default, 100000. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fusion.energyPerTick was corrected from null to its default, 300. 
[23:27:46] [modloading-worker-0/WARN]: Incorrect key fusion.ticksPerOperation was corrected from null to its default, 50. 
[23:27:46] [modloading-worker-0/INFO]: KONNICHIWA ZA WARUDO!
[23:27:46] [modloading-worker-0/INFO]: Default JVM text encoding is: windows-1251
[23:27:46] [modloading-worker-0/INFO]: Reading config file NoChatReports/NCR-Common.json...
[23:27:46] [modloading-worker-0/INFO]: Reading config file NoChatReports/NCR-Client.json...
[23:27:46] [modloading-worker-0/INFO]: Reading config file NoChatReports/NCR-ServerPreferences.json...
[23:27:46] [modloading-worker-0/INFO]: Reading config file NoChatReports/NCR-Encryption.json...
[23:27:46] [modloading-worker-0/INFO]: Writing config file NoChatReports/NCR-Common.json...
[23:27:46] [modloading-worker-0/INFO]: Writing config file NoChatReports/NCR-Client.json...
[23:27:46] [modloading-worker-0/INFO]: Writing config file NoChatReports/NCR-ServerPreferences.json...
[23:27:46] [modloading-worker-0/INFO]: Writing config file NoChatReports/NCR-Encryption.json...
[23:27:46] [modloading-worker-0/INFO]: Client initialization...
[23:27:47] [modloading-worker-0/ERROR]: 'CenterSearch' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #5: "	CenterSearch = false"
[23:27:47] [modloading-worker-0/ERROR]: 'CheatToHotbarUsingHotkeysEnabled' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #15: "	CheatToHotbarUsingHotkeysEnabled = false"
[23:27:47] [modloading-worker-0/ERROR]: 'AddBookmarksToFrontEnabled' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #20: "	AddBookmarksToFrontEnabled = true"
[23:27:47] [modloading-worker-0/ERROR]: 'LookupFluidContents' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #25: "	LookupFluidContents = false"
[23:27:47] [modloading-worker-0/ERROR]: 'GiveMode' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #30: "	GiveMode = MOUSE_PICKUP"
[23:27:47] [modloading-worker-0/ERROR]: 'RecipeGuiHeight' is not a valid config key for config category 'advanced'.
Valid keys: [LowMemorySlowSearchEnabled, CatchRenderErrorsEnabled, lookupFluidContentsEnabled, lookupBlockTagsEnabled, showTagRecipesEnabled, showCreativeTabNamesEnabled]
Skipping this key.
Config file: C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\jei\jei-client.ini
Line #35: "	RecipeGuiHeight = 350"
[23:27:47] [modloading-worker-0/INFO]: Sending ConfigManager...
[23:27:47] [modloading-worker-0/INFO]: Sending ConfigManager took 23.61 ms
[23:27:47] [modloading-worker-0/INFO]: Creating default config file: croptopia_v3.conf
[23:27:47] [Modding Legacy/blue_skies/Supporters thread/INFO]: Attempting to load the Modding Legacy supporters list from https://moddinglegacy.com/supporters-changelogs/supporters.txt
[23:27:47] [modloading-worker-0/INFO]: EuphoriaPatcher: EuphoriaPatches was successfully installed. Enjoy! -SpacEagle17
[23:27:47] [modloading-worker-0/INFO]: EuphoriaPatcher: Cleaning up the temporary directory...
[23:27:47] [modloading-worker-0/INFO]: Items registered.
[23:27:47] [modloading-worker-0/INFO]: Blocks registered.
[23:27:47] [modloading-worker-0/INFO]: Global loot modifiers registered.
[23:27:47] [modloading-worker-0/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\zeta-common.toml is not correct. Correcting
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Use Anti Overlap was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Use Piston Logic Replacement was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Piston Push Limit was corrected from null to its default, 12. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Hide Disabled Content was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Enable Jei Item Info was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Suppressed Info was corrected from null to its default, []. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Enable Advancement Modification was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Enable Modded Advancements was corrected from null to its default, true. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Enable Worldgen Watchdog was corrected from null to its default, false. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Use Fast Worldgen was corrected from null to its default, false. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Enable Creative Verbose Logging was corrected from null to its default, false. 
[23:27:47] [modloading-worker-0/WARN]: Incorrect key general.Force Creative Tab Appends was corrected from null to its default, false. 
[23:27:47] [modloading-worker-0/INFO]: Doing super early config setup for zeta
[23:27:47] [modloading-worker-0/INFO]: 

EuphoriaPatcher: Thank you for using Euphoria Patches - SpacEagle17

[23:27:47] [Modding Legacy/blue_skies/Supporters thread/INFO]: Successfully loaded the Modding Legacy supporters list.
[23:27:48] [modloading-worker-0/INFO]: Create: Dragon Lib 1.4.3 has initialized, ready to support your Create add-ons!
[23:27:48] [modloading-worker-0/INFO]: Kotlin For Forge Enabled!
[23:27:48] [modloading-worker-0/INFO]: Steam 'n' Rails v1.6.7 initializing! Commit hash: 0a7cc000d6c7a1419919bc3e315bc62932287eb9 on Create version: 0.5.1j on platform: Forge
